source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[age]	characteristics[sex]	characteristics[developmental stage]	characteristics[individual]	characteristics[ancestry category]	characteristics[cell type]	characteristics[material type]	characteristics[sample type]	characteristics[single cell isolation protocol]	characteristics[cell identifier]	characteristics[cells per well]	characteristics[biological replicate]	assay name	technology type	comment[technical replicate]	comment[sample preparation batch]	comment[proteomics data acquisition method]	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[label]	comment[carrier channel]	comment[reference channel]	comment[instrument]	comment[cleavage agent details]	comment[cleavage agent details]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[facs nozzle size]	comment[facs sorting mode]	comment[microfluidics chip type]	comment[lcm microscope model]	comment[nanopots chip version]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]
20240711_OA1_Evo12_W40_CaWe_SA_P006_scDVP_labelfree_BOX03_individual3_shape_41	Homo sapiens	Liver	Liver disease	not available	not available	not available	not available	not available	Hepatocyte	tissue	single cell	laser capture microdissection	20240711_OA1_Evo12_W40_CaWe_SA_P006_scDVP_labelfree_BOX03_individual3_shape_41	1	11	20240711_OA1_Evo12_W40_CaWe_SA_P006_scDVP_labelfree_BOX03_individual3_shape_41	proteomic profiling by mass spectrometry	1	P006	NT=Data-independent acquisition;AC=PRIDE:0000628	20240711_OA1_Evo12_W40_CaWe_SA_P006_scDVP_labelfree_BOX03_individual3_shape_41.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/12/PXD062231/20240711_OA1_Evo12_W40_CaWe_SA_P006_scDVP_labelfree_BOX03_individual3_shape_41.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=HCD;AC=MS:1002481	45% NCE	not available	not available	not applicable	not applicable	not applicable	not available	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20240711_OA1_Evo12_W40_CaWe_SA_P006_scDVP_labelfree_BOX08_individual16_shape_36	Homo sapiens	Liver	Liver disease	not available	not available	not available	not available	not available	Hepatocyte	tissue	single cell	laser capture microdissection	20240711_OA1_Evo12_W40_CaWe_SA_P006_scDVP_labelfree_BOX08_individual16_shape_36	1	12	20240711_OA1_Evo12_W40_CaWe_SA_P006_scDVP_labelfree_BOX08_individual16_shape_36	proteomic profiling by mass spectrometry	1	P006	NT=Data-independent acquisition;AC=PRIDE:0000628	20240711_OA1_Evo12_W40_CaWe_SA_P006_scDVP_labelfree_BOX08_individual16_shape_36.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/12/PXD062231/20240711_OA1_Evo12_W40_CaWe_SA_P006_scDVP_labelfree_BOX08_individual16_shape_36.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=HCD;AC=MS:1002481	45% NCE	not available	not available	not applicable	not applicable	not applicable	not available	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20240711_OA1_Evo12_W40_CaWe_SA_P006_scDVP_labelfree_BOX07_individual7_shape_06	Homo sapiens	Liver	Liver disease	not available	not available	not available	not available	not available	Hepatocyte	tissue	single cell	laser capture microdissection	20240711_OA1_Evo12_W40_CaWe_SA_P006_scDVP_labelfree_BOX07_individual7_shape_06	1	13	20240711_OA1_Evo12_W40_CaWe_SA_P006_scDVP_labelfree_BOX07_individual7_shape_06	proteomic profiling by mass spectrometry	1	P006	NT=Data-independent acquisition;AC=PRIDE:0000628	20240711_OA1_Evo12_W40_CaWe_SA_P006_scDVP_labelfree_BOX07_individual7_shape_06.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/12/PXD062231/20240711_OA1_Evo12_W40_CaWe_SA_P006_scDVP_labelfree_BOX07_individual7_shape_06.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=HCD;AC=MS:1002481	45% NCE	not available	not available	not applicable	not applicable	not applicable	not available	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20240711_OA1_Evo12_W40_CaWe_SA_P006_scDVP_labelfree_BOX03_individual3_shape_25	Homo sapiens	Liver	Liver disease	not available	not available	not available	not available	not available	Hepatocyte	tissue	single cell	laser capture microdissection	20240711_OA1_Evo12_W40_CaWe_SA_P006_scDVP_labelfree_BOX03_individual3_shape_25	1	14	20240711_OA1_Evo12_W40_CaWe_SA_P006_scDVP_labelfree_BOX03_individual3_shape_25	proteomic profiling by mass spectrometry	1	P006	NT=Data-independent acquisition;AC=PRIDE:0000628	20240711_OA1_Evo12_W40_CaWe_SA_P006_scDVP_labelfree_BOX03_individual3_shape_25.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/12/PXD062231/20240711_OA1_Evo12_W40_CaWe_SA_P006_scDVP_labelfree_BOX03_individual3_shape_25.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=HCD;AC=MS:1002481	45% NCE	not available	not available	not applicable	not applicable	not applicable	not available	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20240711_OA1_Evo12_W40_CaWe_SA_P006_scDVP_labelfree_BOX09_individual9_shape_08	Homo sapiens	Liver	Liver disease	not available	not available	not available	not available	not available	Hepatocyte	tissue	single cell	laser capture microdissection	20240711_OA1_Evo12_W40_CaWe_SA_P006_scDVP_labelfree_BOX09_individual9_shape_08	1	15	20240711_OA1_Evo12_W40_CaWe_SA_P006_scDVP_labelfree_BOX09_individual9_shape_08	proteomic profiling by mass spectrometry	1	P006	NT=Data-independent acquisition;AC=PRIDE:0000628	20240711_OA1_Evo12_W40_CaWe_SA_P006_scDVP_labelfree_BOX09_individual9_shape_08.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/12/PXD062231/20240711_OA1_Evo12_W40_CaWe_SA_P006_scDVP_labelfree_BOX09_individual9_shape_08.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=HCD;AC=MS:1002481	45% NCE	not available	not available	not applicable	not applicable	not applicable	not available	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20240711_OA1_Evo12_W40_CaWe_SA_P006_scDVP_labelfree_BOX03_individual3_shape_14	Homo sapiens	Liver	Liver disease	not available	not available	not available	not available	not available	Hepatocyte	tissue	single cell	laser capture microdissection	20240711_OA1_Evo12_W40_CaWe_SA_P006_scDVP_labelfree_BOX03_individual3_shape_14	1	16	20240711_OA1_Evo12_W40_CaWe_SA_P006_scDVP_labelfree_BOX03_individual3_shape_14	proteomic profiling by mass spectrometry	1	P006	NT=Data-independent acquisition;AC=PRIDE:0000628	20240711_OA1_Evo12_W40_CaWe_SA_P006_scDVP_labelfree_BOX03_individual3_shape_14.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/12/PXD062231/20240711_OA1_Evo12_W40_CaWe_SA_P006_scDVP_labelfree_BOX03_individual3_shape_14.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=HCD;AC=MS:1002481	45% NCE	not available	not available	not applicable	not applicable	not applicable	not available	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20240711_OA1_Evo12_W40_CaWe_SA_P006_scDVP_labelfree_BOX06_individual6_shape_01	Homo sapiens	Liver	Liver disease	not available	not available	not available	not available	not available	Hepatocyte	tissue	single cell	laser capture microdissection	20240711_OA1_Evo12_W40_CaWe_SA_P006_scDVP_labelfree_BOX06_individual6_shape_01	1	17	20240711_OA1_Evo12_W40_CaWe_SA_P006_scDVP_labelfree_BOX06_individual6_shape_01	proteomic profiling by mass spectrometry	1	P006	NT=Data-independent acquisition;AC=PRIDE:0000628	20240711_OA1_Evo12_W40_CaWe_SA_P006_scDVP_labelfree_BOX06_individual6_shape_01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/12/PXD062231/20240711_OA1_Evo12_W40_CaWe_SA_P006_scDVP_labelfree_BOX06_individual6_shape_01.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=HCD;AC=MS:1002481	45% NCE	not available	not available	not applicable	not applicable	not applicable	not available	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20240711_OA1_Evo12_W40_CaWe_SA_P006_scDVP_labelfree_BOX05_individual14_shape_25	Homo sapiens	Liver	Liver disease	not available	not available	not available	not available	not available	Hepatocyte	tissue	single cell	laser capture microdissection	20240711_OA1_Evo12_W40_CaWe_SA_P006_scDVP_labelfree_BOX05_individual14_shape_25	1	18	20240711_OA1_Evo12_W40_CaWe_SA_P006_scDVP_labelfree_BOX05_individual14_shape_25	proteomic profiling by mass spectrometry	1	P006	NT=Data-independent acquisition;AC=PRIDE:0000628	20240711_OA1_Evo12_W40_CaWe_SA_P006_scDVP_labelfree_BOX05_individual14_shape_25.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/12/PXD062231/20240711_OA1_Evo12_W40_CaWe_SA_P006_scDVP_labelfree_BOX05_individual14_shape_25.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=HCD;AC=MS:1002481	45% NCE	not available	not available	not applicable	not applicable	not applicable	not available	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20240711_OA1_Evo12_W40_CaWe_SA_P006_scDVP_labelfree_BOX11_individual11_shape_40	Homo sapiens	Liver	Liver disease	not available	not available	not available	not available	not available	Hepatocyte	tissue	single cell	laser capture microdissection	20240711_OA1_Evo12_W40_CaWe_SA_P006_scDVP_labelfree_BOX11_individual11_shape_40	1	19	20240711_OA1_Evo12_W40_CaWe_SA_P006_scDVP_labelfree_BOX11_individual11_shape_40	proteomic profiling by mass spectrometry	1	P006	NT=Data-independent acquisition;AC=PRIDE:0000628	20240711_OA1_Evo12_W40_CaWe_SA_P006_scDVP_labelfree_BOX11_individual11_shape_40.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/12/PXD062231/20240711_OA1_Evo12_W40_CaWe_SA_P006_scDVP_labelfree_BOX11_individual11_shape_40.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=HCD;AC=MS:1002481	45% NCE	not available	not available	not applicable	not applicable	not applicable	not available	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20240711_OA1_Evo12_W40_CaWe_SA_P006_scDVP_labelfree_BOX09_individual17_shape_40	Homo sapiens	Liver	Liver disease	not available	not available	not available	not available	not available	Hepatocyte	tissue	single cell	laser capture microdissection	20240711_OA1_Evo12_W40_CaWe_SA_P006_scDVP_labelfree_BOX09_individual17_shape_40	1	20	20240711_OA1_Evo12_W40_CaWe_SA_P006_scDVP_labelfree_BOX09_individual17_shape_40	proteomic profiling by mass spectrometry	1	P006	NT=Data-independent acquisition;AC=PRIDE:0000628	20240711_OA1_Evo12_W40_CaWe_SA_P006_scDVP_labelfree_BOX09_individual17_shape_40.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/12/PXD062231/20240711_OA1_Evo12_W40_CaWe_SA_P006_scDVP_labelfree_BOX09_individual17_shape_40.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=HCD;AC=MS:1002481	45% NCE	not available	not available	not applicable	not applicable	not applicable	not available	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
