source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[material type]	characteristics[sample type]	characteristics[single cell isolation protocol]	characteristics[cell identifier]	characteristics[cells per well]	characteristics[biological replicate]	assay name	technology type	comment[technical replicate]	comment[sample preparation batch]	comment[proteomics data acquisition method]	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[label]	comment[carrier channel]	comment[reference channel]	comment[instrument]	comment[cleavage agent details]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]
200pgQCHeLa_50umC12_0min_1x_04	Homo sapiens	not available	not available	not available	cell	bulk control	not applicable	200pgQCHeLa_50umC12_0min_1x_04	not applicable	40	200pgQCHeLa_50umC12_0min_1x_04	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	200pgQCHeLa_50umC12_0min_1x_04.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/02/PXD048565/200pgQCHeLa_50umC12_0min_1x_04.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
QCHeLa200pg_ColTT1_BackFlush_02	Homo sapiens	not available	not available	not available	cell	bulk control	not applicable	QCHeLa200pg_ColTT1_BackFlush_02	not applicable	41	QCHeLa200pg_ColTT1_BackFlush_02	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	QCHeLa200pg_ColTT1_BackFlush_02.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/02/PXD048565/QCHeLa200pg_ColTT1_BackFlush_02.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
QCHeLa200pg_ColTT1_BackFlush_04	Homo sapiens	not available	not available	not available	cell	bulk control	not applicable	QCHeLa200pg_ColTT1_BackFlush_04	not applicable	42	QCHeLa200pg_ColTT1_BackFlush_04	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	QCHeLa200pg_ColTT1_BackFlush_04.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/02/PXD048565/QCHeLa200pg_ColTT1_BackFlush_04.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
20ngQCHeLa_75umC8_0min_1x_03	Homo sapiens	not available	not available	not available	cell	bulk control	not applicable	20ngQCHeLa_75umC8_0min_1x_03	not applicable	43	20ngQCHeLa_75umC8_0min_1x_03	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	20ngQCHeLa_75umC8_0min_1x_03.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/02/PXD048565/20ngQCHeLa_75umC8_0min_1x_03.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
10ngQCHeLa_75umC12_0min_1x_03	Homo sapiens	not available	not available	not available	cell	bulk control	not applicable	10ngQCHeLa_75umC12_0min_1x_03	not applicable	44	10ngQCHeLa_75umC12_0min_1x_03	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	10ngQCHeLa_75umC12_0min_1x_03.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/02/PXD048565/10ngQCHeLa_75umC12_0min_1x_03.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
200pgQCHeLa_75umC12_5min_placed_01	Homo sapiens	not available	not available	not available	cell	bulk control	not applicable	200pgQCHeLa_75umC12_5min_placed_01	not applicable	45	200pgQCHeLa_75umC12_5min_placed_01	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	200pgQCHeLa_75umC12_5min_placed_01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/02/PXD048565/200pgQCHeLa_75umC12_5min_placed_01.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
20ngQCHeLa_50umC12_0min_1x_02	Homo sapiens	not available	not available	not available	cell	bulk control	not applicable	20ngQCHeLa_50umC12_0min_1x_02	not applicable	46	20ngQCHeLa_50umC12_0min_1x_02	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	20ngQCHeLa_50umC12_0min_1x_02.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/02/PXD048565/20ngQCHeLa_50umC12_0min_1x_02.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
200pgQCHeLa_50umC12_0min_1x_06	Homo sapiens	not available	not available	not available	cell	bulk control	not applicable	200pgQCHeLa_50umC12_0min_1x_06	not applicable	47	200pgQCHeLa_50umC12_0min_1x_06	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	200pgQCHeLa_50umC12_0min_1x_06.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/02/PXD048565/200pgQCHeLa_50umC12_0min_1x_06.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
10ngQCHeLa_75umC8_0min_1x_03	Homo sapiens	not available	not available	not available	cell	bulk control	not applicable	10ngQCHeLa_75umC8_0min_1x_03	not applicable	48	10ngQCHeLa_75umC8_0min_1x_03	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	10ngQCHeLa_75umC8_0min_1x_03.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/02/PXD048565/10ngQCHeLa_75umC8_0min_1x_03.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
2ngQCHeLa_75umC12_0min_1x_01	Homo sapiens	not available	not available	not available	cell	bulk control	not applicable	2ngQCHeLa_75umC12_0min_1x_01	not applicable	49	2ngQCHeLa_75umC12_0min_1x_01	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	2ngQCHeLa_75umC12_0min_1x_01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/02/PXD048565/2ngQCHeLa_75umC12_0min_1x_01.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
200pgQCHeLa_ColTT1_ForwardFlush_02	Homo sapiens	not available	not available	not available	cell	bulk control	not applicable	200pgQCHeLa_ColTT1_ForwardFlush_02	not applicable	50	200pgQCHeLa_ColTT1_ForwardFlush_02	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	200pgQCHeLa_ColTT1_ForwardFlush_02.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/02/PXD048565/200pgQCHeLa_ColTT1_ForwardFlush_02.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
20ngQCHeLa_75umC12_0min_1x_02	Homo sapiens	not available	not available	not available	cell	bulk control	not applicable	20ngQCHeLa_75umC12_0min_1x_02	not applicable	51	20ngQCHeLa_75umC12_0min_1x_02	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	20ngQCHeLa_75umC12_0min_1x_02.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/02/PXD048565/20ngQCHeLa_75umC12_0min_1x_02.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
10ngQCHeLa_50umC12_0min_1x_01	Homo sapiens	not available	not available	not available	cell	bulk control	not applicable	10ngQCHeLa_50umC12_0min_1x_01	not applicable	52	10ngQCHeLa_50umC12_0min_1x_01	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	10ngQCHeLa_50umC12_0min_1x_01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/02/PXD048565/10ngQCHeLa_50umC12_0min_1x_01.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
QCHeLa10ng_ColTT1_BackFlush_05	Homo sapiens	not available	not available	not available	cell	bulk control	not applicable	QCHeLa10ng_ColTT1_BackFlush_05	not applicable	53	QCHeLa10ng_ColTT1_BackFlush_05	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	QCHeLa10ng_ColTT1_BackFlush_05.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/02/PXD048565/QCHeLa10ng_ColTT1_BackFlush_05.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
200pgQCHeLa_75umC8_0min_1x_02	Homo sapiens	not available	not available	not available	cell	bulk control	not applicable	200pgQCHeLa_75umC8_0min_1x_02	not applicable	54	200pgQCHeLa_75umC8_0min_1x_02	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	200pgQCHeLa_75umC8_0min_1x_02.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/02/PXD048565/200pgQCHeLa_75umC8_0min_1x_02.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
10ngQCHeLa_50umC12_0min_1x_02	Homo sapiens	not available	not available	not available	cell	bulk control	not applicable	10ngQCHeLa_50umC12_0min_1x_02	not applicable	55	10ngQCHeLa_50umC12_0min_1x_02	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	10ngQCHeLa_50umC12_0min_1x_02.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/02/PXD048565/10ngQCHeLa_50umC12_0min_1x_02.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
20ngQCHeLa_75umC12_0min_1x_01	Homo sapiens	not available	not available	not available	cell	bulk control	not applicable	20ngQCHeLa_75umC12_0min_1x_01	not applicable	56	20ngQCHeLa_75umC12_0min_1x_01	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	20ngQCHeLa_75umC12_0min_1x_01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/02/PXD048565/20ngQCHeLa_75umC12_0min_1x_01.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
200pgQCHeLa_75umC12_0min_1x_03	Homo sapiens	not available	not available	not available	cell	bulk control	not applicable	200pgQCHeLa_75umC12_0min_1x_03	not applicable	57	200pgQCHeLa_75umC12_0min_1x_03	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	200pgQCHeLa_75umC12_0min_1x_03.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/02/PXD048565/200pgQCHeLa_75umC12_0min_1x_03.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
2ngQCHeLa_75umC12_0min_1x_03	Homo sapiens	not available	not available	not available	cell	bulk control	not applicable	2ngQCHeLa_75umC12_0min_1x_03	not applicable	58	2ngQCHeLa_75umC12_0min_1x_03	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	2ngQCHeLa_75umC12_0min_1x_03.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/02/PXD048565/2ngQCHeLa_75umC12_0min_1x_03.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
