source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[material type]	characteristics[sample type]	characteristics[single cell isolation protocol]	characteristics[cell identifier]	characteristics[cells per well]	characteristics[biological replicate]	assay name	technology type	comment[technical replicate]	comment[sample preparation batch]	comment[proteomics data acquisition method]	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[label]	comment[carrier channel]	comment[reference channel]	comment[instrument]	comment[cleavage agent details]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]
HeLa_1ngC_PRM_IO8_001	Homo sapiens	not available	not available	not available	cell	single cell	not applicable	HeLa_1ngC_PRM_IO8_001	1	11	HeLa_1ngC_PRM_IO8_001	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	HeLa_1ngC_PRM_IO8_001.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/03/PXD073405/HeLa_1ngC_PRM_IO8_001.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
HeLa_10pgC_H3PTM_SQ_IO8_002	Homo sapiens	not available	not available	not available	cell	single cell	not applicable	HeLa_10pgC_H3PTM_SQ_IO8_002	1	12	HeLa_10pgC_H3PTM_SQ_IO8_002	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	HeLa_10pgC_H3PTM_SQ_IO8_002.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/03/PXD073405/HeLa_10pgC_H3PTM_SQ_IO8_002.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
Jurkat_scTMT_Set02_shTMT_20fmol_112825	Homo sapiens	not available	not available	not available	cell	single cell	not applicable	Jurkat_scTMT_Set02_shTMT_20fmol_112825	1	13	Jurkat_scTMT_Set02_shTMT_20fmol_112825	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Jurkat_scTMT_Set02_shTMT_20fmol_112825.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/03/PXD073405/Jurkat_scTMT_Set02_shTMT_20fmol_112825.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
Jurkat_scTMT_Set04_shTMT_20fmol_112825	Homo sapiens	not available	not available	not available	cell	single cell	not applicable	Jurkat_scTMT_Set04_shTMT_20fmol_112825	1	14	Jurkat_scTMT_Set04_shTMT_20fmol_112825	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Jurkat_scTMT_Set04_shTMT_20fmol_112825.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/03/PXD073405/Jurkat_scTMT_Set04_shTMT_20fmol_112825.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
Jurkat_scTMT_Set08_shTMT_20fmol_112825	Homo sapiens	not available	not available	not available	cell	single cell	not applicable	Jurkat_scTMT_Set08_shTMT_20fmol_112825	1	15	Jurkat_scTMT_Set08_shTMT_20fmol_112825	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Jurkat_scTMT_Set08_shTMT_20fmol_112825.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/03/PXD073405/Jurkat_scTMT_Set08_shTMT_20fmol_112825.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
HeLa_10pgC_H3PTM_SQ_IO8_001	Homo sapiens	not available	not available	not available	cell	single cell	not applicable	HeLa_10pgC_H3PTM_SQ_IO8_001	1	16	HeLa_10pgC_H3PTM_SQ_IO8_001	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	HeLa_10pgC_H3PTM_SQ_IO8_001.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/03/PXD073405/HeLa_10pgC_H3PTM_SQ_IO8_001.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
HeLa_10pgC_H3PTM_SQ_IO8_003	Homo sapiens	not available	not available	not available	cell	single cell	not applicable	HeLa_10pgC_H3PTM_SQ_IO8_003	1	17	HeLa_10pgC_H3PTM_SQ_IO8_003	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	HeLa_10pgC_H3PTM_SQ_IO8_003.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/03/PXD073405/HeLa_10pgC_H3PTM_SQ_IO8_003.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
HeLa_10pgC_DDA_IO8_001	Homo sapiens	not available	not available	not available	cell	single cell	not applicable	HeLa_10pgC_DDA_IO8_001	1	18	HeLa_10pgC_DDA_IO8_001	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	HeLa_10pgC_DDA_IO8_001.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/03/PXD073405/HeLa_10pgC_DDA_IO8_001.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
HeLa_1ngC_DDA_IO8_002	Homo sapiens	not available	not available	not available	cell	single cell	not applicable	HeLa_1ngC_DDA_IO8_002	1	19	HeLa_1ngC_DDA_IO8_002	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	HeLa_1ngC_DDA_IO8_002.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/03/PXD073405/HeLa_1ngC_DDA_IO8_002.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
HeLa_1ngC_H3PTM_SQ_IO8_002	Homo sapiens	not available	not available	not available	cell	single cell	not applicable	HeLa_1ngC_H3PTM_SQ_IO8_002	1	20	HeLa_1ngC_H3PTM_SQ_IO8_002	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	HeLa_1ngC_H3PTM_SQ_IO8_002.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/03/PXD073405/HeLa_1ngC_H3PTM_SQ_IO8_002.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
Jurkat_scTMT_Set06_shTMT_20fmol_112825	Homo sapiens	not available	not available	not available	cell	single cell	not applicable	Jurkat_scTMT_Set06_shTMT_20fmol_112825	1	21	Jurkat_scTMT_Set06_shTMT_20fmol_112825	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Jurkat_scTMT_Set06_shTMT_20fmol_112825.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/03/PXD073405/Jurkat_scTMT_Set06_shTMT_20fmol_112825.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
Jurkat_scTMT_Set03_shTMT_20fmol_112825	Homo sapiens	not available	not available	not available	cell	single cell	not applicable	Jurkat_scTMT_Set03_shTMT_20fmol_112825	1	22	Jurkat_scTMT_Set03_shTMT_20fmol_112825	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Jurkat_scTMT_Set03_shTMT_20fmol_112825.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/03/PXD073405/Jurkat_scTMT_Set03_shTMT_20fmol_112825.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
HeLa_1pgC_DDA_IO8_001	Homo sapiens	not available	not available	not available	cell	single cell	not applicable	HeLa_1pgC_DDA_IO8_001	1	23	HeLa_1pgC_DDA_IO8_001	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	HeLa_1pgC_DDA_IO8_001.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/03/PXD073405/HeLa_1pgC_DDA_IO8_001.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
HeLa_100pgC_DDA_IO8_002	Homo sapiens	not available	not available	not available	cell	single cell	not applicable	HeLa_100pgC_DDA_IO8_002	1	24	HeLa_100pgC_DDA_IO8_002	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	HeLa_100pgC_DDA_IO8_002.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/03/PXD073405/HeLa_100pgC_DDA_IO8_002.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
HeLa_10pgC_PRM_IO8_003	Homo sapiens	not available	not available	not available	cell	single cell	not applicable	HeLa_10pgC_PRM_IO8_003	1	25	HeLa_10pgC_PRM_IO8_003	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	HeLa_10pgC_PRM_IO8_003.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/03/PXD073405/HeLa_10pgC_PRM_IO8_003.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
HeLa_10pgC_PRM_IO8_002	Homo sapiens	not available	not available	not available	cell	single cell	not applicable	HeLa_10pgC_PRM_IO8_002	1	26	HeLa_10pgC_PRM_IO8_002	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	HeLa_10pgC_PRM_IO8_002.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/03/PXD073405/HeLa_10pgC_PRM_IO8_002.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
HeLa_1pgC_PRM_IO8_001	Homo sapiens	not available	not available	not available	cell	single cell	not applicable	HeLa_1pgC_PRM_IO8_001	1	27	HeLa_1pgC_PRM_IO8_001	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	HeLa_1pgC_PRM_IO8_001.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/03/PXD073405/HeLa_1pgC_PRM_IO8_001.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
HeLa_1pgC_PRM_IO8_003	Homo sapiens	not available	not available	not available	cell	single cell	not applicable	HeLa_1pgC_PRM_IO8_003	1	28	HeLa_1pgC_PRM_IO8_003	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	HeLa_1pgC_PRM_IO8_003.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/03/PXD073405/HeLa_1pgC_PRM_IO8_003.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
Jurkat_scTMT_Set01_shTMT_20fmol_112825	Homo sapiens	not available	not available	not available	cell	single cell	not applicable	Jurkat_scTMT_Set01_shTMT_20fmol_112825	1	29	Jurkat_scTMT_Set01_shTMT_20fmol_112825	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Jurkat_scTMT_Set01_shTMT_20fmol_112825.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/03/PXD073405/Jurkat_scTMT_Set01_shTMT_20fmol_112825.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
HeLa_10pgC_DDA_IO8_002	Homo sapiens	not available	not available	not available	cell	single cell	not applicable	HeLa_10pgC_DDA_IO8_002	1	30	HeLa_10pgC_DDA_IO8_002	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	HeLa_10pgC_DDA_IO8_002.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/03/PXD073405/HeLa_10pgC_DDA_IO8_002.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
HeLa_10pgC_DDA_IO8_003	Homo sapiens	not available	not available	not available	cell	single cell	not applicable	HeLa_10pgC_DDA_IO8_003	1	31	HeLa_10pgC_DDA_IO8_003	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	HeLa_10pgC_DDA_IO8_003.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/03/PXD073405/HeLa_10pgC_DDA_IO8_003.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
HeLa_1pgC_H3PTM_SQ_IO8_003	Homo sapiens	not available	not available	not available	cell	single cell	not applicable	HeLa_1pgC_H3PTM_SQ_IO8_003	1	32	HeLa_1pgC_H3PTM_SQ_IO8_003	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	HeLa_1pgC_H3PTM_SQ_IO8_003.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/03/PXD073405/HeLa_1pgC_H3PTM_SQ_IO8_003.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
HeLa_100pgC_DDA_IO8_003	Homo sapiens	not available	not available	not available	cell	single cell	not applicable	HeLa_100pgC_DDA_IO8_003	1	33	HeLa_100pgC_DDA_IO8_003	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	HeLa_100pgC_DDA_IO8_003.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/03/PXD073405/HeLa_100pgC_DDA_IO8_003.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
HeLa_100pgC_H3PTM_SQ_IO8_002	Homo sapiens	not available	not available	not available	cell	single cell	not applicable	HeLa_100pgC_H3PTM_SQ_IO8_002	1	34	HeLa_100pgC_H3PTM_SQ_IO8_002	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	HeLa_100pgC_H3PTM_SQ_IO8_002.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/03/PXD073405/HeLa_100pgC_H3PTM_SQ_IO8_002.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
HeLa_100pgC_H3PTM_SQ_IO8_003	Homo sapiens	not available	not available	not available	cell	single cell	not applicable	HeLa_100pgC_H3PTM_SQ_IO8_003	1	35	HeLa_100pgC_H3PTM_SQ_IO8_003	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	HeLa_100pgC_H3PTM_SQ_IO8_003.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/03/PXD073405/HeLa_100pgC_H3PTM_SQ_IO8_003.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
HeLa_1ngC_PRM_IO8_003	Homo sapiens	not available	not available	not available	cell	single cell	not applicable	HeLa_1ngC_PRM_IO8_003	1	36	HeLa_1ngC_PRM_IO8_003	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	HeLa_1ngC_PRM_IO8_003.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/03/PXD073405/HeLa_1ngC_PRM_IO8_003.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
HeLa_10pgC_PRM_IO8_001	Homo sapiens	not available	not available	not available	cell	single cell	not applicable	HeLa_10pgC_PRM_IO8_001	1	37	HeLa_10pgC_PRM_IO8_001	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	HeLa_10pgC_PRM_IO8_001.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/03/PXD073405/HeLa_10pgC_PRM_IO8_001.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
HeLa_1pgC_DDA_IO8_002	Homo sapiens	not available	not available	not available	cell	single cell	not applicable	HeLa_1pgC_DDA_IO8_002	1	38	HeLa_1pgC_DDA_IO8_002	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	HeLa_1pgC_DDA_IO8_002.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/03/PXD073405/HeLa_1pgC_DDA_IO8_002.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
HeLa_1pgC_DDA_IO8_003	Homo sapiens	not available	not available	not available	cell	single cell	not applicable	HeLa_1pgC_DDA_IO8_003	1	39	HeLa_1pgC_DDA_IO8_003	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	HeLa_1pgC_DDA_IO8_003.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/03/PXD073405/HeLa_1pgC_DDA_IO8_003.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
